Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
14255,Radiant Silvergun,SAT,1998.0,Shooter,ESP,0.0,0.0,0.03,0.0,0.03,,,,,
14256,Bounty Hounds,PSP,2006.0,Action,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,63.0,14.0,6.0,7.0,T
14257,Care Bears - Care Quest,GBA,2005.0,Action,Game Factory,0.02,0.01,0.0,0.0,0.03,,,,,
14258,Gothic Universe,PC,2007.0,Role-Playing,JoWood Productions,0.0,0.03,0.0,0.01,0.03,,,7.9,10.0,M
14259,Challenge Me: Word Puzzles,DS,2011.0,Puzzle,O-Games,0.03,0.0,0.0,0.0,0.03,,,,,E10+
14260,A Game of Thrones: Genesis,PC,2011.0,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,53.0,40.0,4.0,110.0,
14261,Even in a Game Listen to Me Girls. I Am Your Father!,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14262,Tokyo Majin Gakuen: Kenfuuchou,DS,2008.0,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,,,,,
14263,LEGO Harry Potter: Years 1-4,PC,2010.0,Action,Warner Bros. Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,79.0,15.0,7.8,60.0,E10+
14264,Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,GBA,2002.0,Action,Hudson Soft,0.0,0.0,0.03,0.0,0.03,,,,,
14265,Zatch Bell! Electric Arena,GBA,2003.0,Fighting,Banpresto,0.02,0.01,0.0,0.0,0.03,,,,,
14266,NHRA Drag Racing: Countdown to the Championship,PSP,2007.0,Racing,THQ,0.03,0.0,0.0,0.0,0.03,,,,,
14267,Hotel Giant 2,PC,2008.0,Strategy,JoWood Productions,0.0,0.03,0.0,0.0,0.03,58.0,7.0,2.5,19.0,E
14268,TOCA Race Driver 3,X,2006.0,Racing,Codemasters,0.03,0.01,0.0,0.0,0.03,84.0,25.0,8.0,6.0,E10+
14269,Daito Giken Premium Pachi-Slot Collection: Yoshimune,PS2,2006.0,Misc,Daito,0.0,0.0,0.03,0.0,0.03,,,,,
14270,Sky Dancers,GBA,2005.0,Action,Crave Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14271,Silent Scope,GBA,2002.0,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,70.0,5.0,8.0,5.0,T
14272,The Cursed Crusade,PC,2011.0,Action,DTP Entertainment,0.0,0.03,0.0,0.01,0.03,55.0,7.0,6.0,33.0,M
14273,Deer Drive: Legends,3DS,2012.0,Action,Maximum Family Games,0.03,0.0,0.0,0.0,0.03,,,,,T
14274,DarkStar One,PC,2006.0,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03,71.0,33.0,7.2,55.0,T
14275,World Series of Poker: Tournament of Champions 2007 Edition,PS2,2006.0,Misc,Activision,0.02,0.01,0.0,0.0,0.03,,,,,
14276,Yggdra Union: Well Never Fight Alone,GBA,2006.0,Role-Playing,Sting,0.0,0.0,0.03,0.0,0.03,,,,,
14277,SBK 2011: FIM Superbike World Championship,PC,2011.0,Racing,Black Bean Games,0.0,0.03,0.0,0.01,0.03,,,,,
14278,Caesar III,PC,1998.0,Strategy,Vivendi Games,0.0,0.03,0.0,0.0,0.03,,,8.6,53.0,E
14279,JoJos Bizarre Adventure: Eyes of Heaven,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,61.0,35.0,7.3,45.0,T
14280,Hitman: Blood Money,PC,2006.0,Action,Eidos Interactive,0.0,0.03,0.0,0.01,0.03,82.0,35.0,8.8,533.0,M
14281,Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012.0,Misc,Fields,0.0,0.0,0.03,0.0,0.03,,,,,
14282,Turbo: Super Stunt Squad,DS,2013.0,Sports,D3Publisher,0.0,0.03,0.0,0.0,0.03,,,,,E
14283,All Kamen Rider: Rider Revolution,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14284,ESPN NBA 2Night 2002,PS2,2002.0,Sports,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,59.0,13.0,,,E
14285,Wangan Midnight,PS3,2007.0,Racing,Genki,0.0,0.0,0.03,0.0,0.03,,,,,
14286,Renai Revenge,PSV,2015.0,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,,,,,
14287,Might & Magic X: Legacy,PC,2014.0,Role-Playing,Ubisoft,0.0,0.03,0.0,0.0,0.03,,,,,
14288,Cabelas Dangerous Hunts 2,GC,2005.0,Sports,Activision,0.03,0.01,0.0,0.0,0.03,,,,,T
14289,Planescape: Torment,PC,1998.0,Role-Playing,Interplay,0.01,0.02,0.0,0.0,0.03,91.0,22.0,9.2,819.0,T
14290,Paddington: Adventures in London,3DS,2015.0,Puzzle,Koch Media,0.0,0.03,0.0,0.0,0.03,,,,,
14291,Alias Carnival! Sacrament,PSV,2015.0,Adventure,dramatic create,0.0,0.0,0.03,0.0,0.03,,,,,
14292,Kekkaishi: Kokubourou no Kage,Wii,2007.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14293,Suzumiya Haruhi no Tsuisou,PS3,2011.0,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14294,Trap Gunner: Countdown to Oblivion,PS,1998.0,Strategy,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14295,"Crouching Tiger, Hidden Dragon",GBA,2003.0,Action,Ubisoft,0.02,0.01,0.0,0.0,0.03,60.0,12.0,,,T
14296,Mame Goma: Shiro to Kuro no Meikyuu,3DS,2012.0,Action,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,,,,
14297,Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,2006.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,
14298,Rocksmith 2014 Edition Remastered,PS4,2016.0,Misc,Ubisoft,0.03,0.0,0.0,0.01,0.03,,,7.8,5.0,T
14299,Star Wars Jedi Knight: Jedi Academy,PC,2003.0,Shooter,Activision,0.0,0.03,0.0,0.0,0.03,81.0,34.0,8.6,295.0,T
14300,Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009.0,Adventure,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
14301,Tsuyo Kiss: Mighty Heart,PS2,2006.0,Adventure,Princess Soft,0.0,0.0,0.03,0.0,0.03,,,,,
14302,Sabre Wulf,GBA,2004.0,Platform,THQ,0.02,0.01,0.0,0.0,0.03,75.0,27.0,8.0,4.0,E
14303,Alpha Protocol,PC,2010.0,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72.0,25.0,7.5,511.0,M
14304,Gacharoku,PS2,2002.0,Misc,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14305,Cake Mania: Bakers Challenge,PSP,2008.0,Puzzle,Destineer,0.03,0.0,0.0,0.0,0.03,,,,,E
14306,SX Superstar,GC,2003.0,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.03,,,,,
14307,Zoo Vet: Endangered Animals,DS,2008.0,Simulation,505 Games,0.03,0.0,0.0,0.0,0.03,,,,,E10+
14308,Driven,GBA,2001.0,Racing,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,68.0,10.0,,,E
14309,Living Legends: Frozen Beauty,PC,2014.0,Action,Big Fish Games,0.0,0.03,0.0,0.0,0.03,,,,,
14310,Red Faction II,GC,2003.0,Shooter,THQ,0.03,0.01,0.0,0.0,0.03,79.0,12.0,7.3,4.0,M
14311,Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011.0,Role-Playing,Hudson Soft,0.0,0.0,0.03,0.0,0.03,,,,,
14312,SD Gundam G Generation: Gather Beat 2,WS,2001.0,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14313,Bad Apple Wars,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,
14314,Battle Engine Aquila,PS2,2003.0,Shooter,Atari,0.02,0.01,0.0,0.0,0.03,73.0,17.0,9.0,5.0,T
14315,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016.0,Adventure,5p,0.0,0.0,0.03,0.0,0.03,,,,,
14316,Hello Kitty: Roller Rescue,PC,2005.0,Action,Empire Interactive,0.0,0.03,0.0,0.0,0.03,,,,,
14317,Special Forces: Nemesis Strike,X,2005.0,Shooter,Hip Interactive,0.03,0.01,0.0,0.0,0.03,60.0,10.0,6.5,4.0,M
14318,Womens Volleyball Championship,PS2,2007.0,Sports,Spike,0.0,0.0,0.03,0.0,0.03,32.0,7.0,4.0,4.0,E
14319,WRC: FIA World Rally Championship,PSP,2005.0,Racing,Sony Computer Entertainment,0.02,0.01,0.0,0.0,0.03,67.0,18.0,7.8,19.0,E
14320,Detective Conan: Phantom Rhapsody,3DS,2014.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14321,Penguins of Madagascar,WiiU,2014.0,Action,Namco Bandai Games,0.01,0.02,0.0,0.0,0.03,,,5.2,6.0,E
14322,Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14323,Rakushou! Pachi-Slot Sengen 5: Rio Paradise,PS2,2007.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
14324,XBLAZE Code: Embryo,PSV,2013.0,Adventure,Arc System Works,0.02,0.0,0.01,0.01,0.03,43.0,5.0,7.4,24.0,M
14325,Battle Assault 3 featuring Gundam Seed,PS2,2004.0,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,48.0,9.0,8.7,7.0,T
14326,Crimson Tears,PS2,2004.0,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03,62.0,30.0,7.8,4.0,T
14327,Superstars V8 Racing,PS3,2009.0,Racing,Black Bean Games,0.0,0.02,0.0,0.01,0.03,66.0,29.0,4.9,9.0,E
14328,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,2008.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14329,Batman Forever: The Arcade Game,PS,1996.0,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14330,Romance of the Three Kingdoms (3DS),3DS,2013.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
14331,Rapala Tournament Fishing!,X360,2006.0,Sports,Activision,0.03,0.0,0.0,0.0,0.03,41.0,4.0,8.0,6.0,E
14332,Cabelas Outdoor Adventures,GC,2005.0,Sports,Activision,0.03,0.01,0.0,0.0,0.03,,,8.8,9.0,T
14333,Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011.0,Strategy,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,,,,
14334,Backyard NFL Football 2006,GBA,2005.0,Sports,Atari,0.02,0.01,0.0,0.0,0.03,,,,,
14335,Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011.0,Adventure,Comfort,0.0,0.0,0.03,0.0,0.03,,,,,
14336,Monster Guardians,GBA,2001.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14337,Kangokutou Mary Skelter,PSV,2016.0,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03,,,,,
14338,An American Tail: Fievels Gold Rush,GBA,2002.0,Platform,Conspiracy Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14339,Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14340,Diabolik Lovers: More Blood,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,
14341,Magna Carta Portable,PSP,2006.0,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03,,,,,
14342,Swords,Wii,2010.0,Fighting,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,,,,,T
14343,The Italian Jo,GC,2003.0,Racing,Eidos Interactive,0.03,0.01,0.0,0.0,0.03,56.0,10.0,,,T
14344,Super Dodgeball Brawlers (jp sales),DS,2008.0,Sports,Arc System Works,0.0,0.0,0.03,0.0,0.03,,,,,
14345,Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,PSP,2007.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,,,,
14346,Crazy Chicken: Star Karts,DS,2008.0,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03,,,,,E
14347,M&Ms Shell Shocked,PS,2001.0,Action,Berkeley,0.02,0.01,0.0,0.0,0.03,,,,,
14348,7 Wonders: Treasures of Seven,DS,2011.0,Puzzle,Avanquest,0.01,0.02,0.0,0.0,0.03,,,,,
14349,K-On! After School Live!! HD Ver.,PS3,2012.0,Action,Sega,0.0,0.0,0.03,0.0,0.03,,,,,
14350,Metal Gear Solid: The Essential Collection (JP sales),PS2,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14351,Rise of Nations: Rise of Legends,PC,2006.0,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,84.0,46.0,8.6,109.0,T
14352,The Void,PC,2008.0,Adventure,Mamba Games,0.0,0.03,0.0,0.01,0.03,77.0,12.0,8.3,97.0,
14353,DiRT Rally,PC,2016.0,Racing,Codemasters,0.0,0.03,0.0,0.0,0.03,86.0,33.0,8.7,290.0,E
14354,3D Baseball,PS,1996.0,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14355,Supreme Ruler: Cold War,PC,2011.0,Strategy,Paradox Interactive,0.0,0.03,0.0,0.01,0.03,63.0,12.0,6.8,27.0,RP
14356,Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,2007.0,Misc,Hackberry,0.0,0.0,0.03,0.0,0.03,,,,,
14357,First Queen: Ornic Senki,SNES,1994.0,Role-Playing,Culture Brain,0.0,0.0,0.03,0.0,0.03,,,,,
14358,Dream C Club Zero,X360,2011.0,Simulation,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,
14359,Shining Stars,DS,2008.0,Action,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03,,,,,
14360,Sengoku Basara: Sanada Yukimura-Den,PS3,2016.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03,,,,,
14361,The Technomancer,XOne,2016.0,Role-Playing,Focus Home Interactive,0.02,0.01,0.0,0.0,0.03,68.0,12.0,7.3,56.0,M
14362,Tail Concerto,PS,1998.0,Adventure,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,,,,,
14363,The Sum of All Fears,GC,2003.0,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03,36.0,11.0,3.4,5.0,T
14364,James Pond: Codename Robocod,GBA,2005.0,Platform,Play It,0.02,0.01,0.0,0.0,0.03,,,,,
14365,Yumis Odd Odyssey,3DS,2013.0,Platform,Agatsuma Entertainment,0.0,0.0,0.03,0.0,0.03,74.0,13.0,7.7,23.0,E
14366,Night Head: The Labyrinth,PS,1995.0,Adventure,Fuji,0.0,0.0,0.03,0.0,0.03,,,,,
14367,Emma at the Farm,DS,2008.0,Adventure,Aspyr,0.03,0.0,0.0,0.0,0.03,,,,,E
14368,Utawarerumono Portable,PSP,2009.0,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03,,,,,
14369,EverBlue 2,PS2,2002.0,Adventure,Capcom,0.02,0.01,0.0,0.0,0.03,59.0,21.0,7.5,4.0,E
14370,Gaia Saver Hero Saidai no Sakusen,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03,,,,,
14371,Kevin Van Dam: Big Bass Challenge,Wii,2010.0,Sports,Zoo Games,0.03,0.0,0.0,0.0,0.03,,,,,
14372,Sacra Terra: Angelic Night,PC,2011.0,Puzzle,Avanquest,0.01,0.02,0.0,0.01,0.03,,,,,T
14373,Prey,PC,2006.0,Shooter,Take-Two Interactive,0.0,0.03,0.0,0.01,0.03,,,,,
14374,Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,2009.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,,,,,
14375,Safari Adventures: Africa,Wii,2007.0,Adventure,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,,,,,E
14376,Hakuoki Zuisouroku Omokage Hana,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,
14377,Super Hero Generation,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14378,Clever Kids: Pirates,DS,2008.0,Misc,Midas Interactive Entertainment,0.0,0.03,0.0,0.0,0.03,,,,,
14379,Junior Island Adventure,DS,2011.0,Puzzle,Unknown,0.03,0.0,0.0,0.0,0.03,,,,,E
14380,Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,2006.0,Misc,Daito,0.0,0.0,0.03,0.0,0.03,,,,,
14381,Yumeiro Patissiere: My Sweets Cooking,DS,2010.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14382,Championship Manager Season 01/02,PC,2001.0,Sports,Eidos Interactive,0.0,0.03,0.0,0.0,0.03,,,,,
14383,Clannad,PS3,2011.0,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03,,,,,
14384,Barbie and Her Sisters Puppy Rescue,Wii,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,,,,,E
14385,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,,,,,
14386,Electroplankton,DS,2005.0,Misc,Nintendo,0.01,0.0,0.02,0.0,0.03,71.0,49.0,7.0,37.0,E
14387,Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015.0,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,,,,,
14388,Anglers Club: Ultimate Bass Fishing 3D,3DS,2011.0,Sports,D3Publisher,0.0,0.03,0.0,0.0,0.03,,,,,E
14389,PowerSlave,PS,1996.0,Shooter,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14390,Maximum Racing: Drag & Stock Racer,Wii,2010.0,Racing,Nordic Games,0.03,0.0,0.0,0.0,0.03,,,,,
14391,Project Gotham Racing 2 (JP weekly sales),X,2003.0,Action,Microsoft Game Studios,0.0,0.0,0.03,0.0,0.03,,,,,
14392,CT Special Forces,GBA,2002.0,Action,LSP Games,0.02,0.01,0.0,0.0,0.03,71.0,14.0,,,T
14393,FIFA World Cup: Germany 2006,GBA,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,57.0,4.0,6.9,7.0,E
14394,Nancy Drew: Alibi In Ashes,PC,2011.0,Adventure,Her Interactive,0.03,0.0,0.0,0.0,0.03,,,,,E
14395,Jewel Master: Cradle of Rome,Wii,2008.0,Puzzle,Rondomedia,0.03,0.0,0.0,0.0,0.03,,,,,E
14396,Crash Time: Autobahn Pusuit,X360,2008.0,Racing,RTL,0.03,0.0,0.0,0.0,0.03,,,,,
14397,Zoo Tycoon,PC,2001.0,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.0,0.03,,,,,
14398,Earthworm Jim 2,GBA,2002.0,Platform,Vivendi Games,0.02,0.01,0.0,0.0,0.03,45.0,10.0,5.7,6.0,E
14399,MotoGP,PSP,2006.0,Racing,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,69.0,18.0,7.1,7.0,E
14400,Dungeon Maker: Hunting Ground,PSP,2006.0,Role-Playing,Global A Entertainment,0.03,0.0,0.0,0.0,0.03,70.0,18.0,6.4,8.0,E10+
14401,Fritz Chess,PS3,2009.0,Strategy,Deep Silver,0.0,0.03,0.0,0.01,0.03,,,,,
14402,QUIZ PARTY,Wii,2012.0,Misc,Nintendo,0.0,0.03,0.0,0.0,0.03,,,,,
14403,Kings Quest: The Complete Collection,PS4,2016.0,Adventure,Activision,0.03,0.0,0.0,0.01,0.03,,,,,E10+
14404,Call of Juarez: Bound in Blood,PC,2009.0,Shooter,Ubisoft,0.0,0.03,0.0,0.0,0.03,78.0,39.0,8.0,283.0,M
14405,Tamagotchi no Doki Doki Dream Omisecchi,3DS,2013.0,Simulation,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14406,Toushin Toshi,3DS,2014.0,Role-Playing,imageepoch Inc.,0.0,0.0,0.03,0.0,0.03,,,,,
14407,Suujin Taisen,DS,2007.0,Strategy,Nintendo,0.0,0.0,0.03,0.0,0.03,,,,,
14408,Rugby 15,PSV,2015.0,Sports,Bigben Interactive,0.0,0.03,0.0,0.01,0.03,,,,,E
14409,Apache: Air Assault,PC,2010.0,Simulation,Just Flight,0.0,0.03,0.0,0.0,0.03,64.0,7.0,7.5,18.0,T
14410,Driv3r,GBA,2005.0,Racing,Atari,0.02,0.01,0.0,0.0,0.03,,,5.4,5.0,M
14411,Street Supremacy,PSP,2005.0,Racing,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.03,41.0,31.0,,,E
14412,Best Friends Tonight,DS,2010.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.03,,,,,E10+
14413,Diabolik Lovers: Lunatic Parade,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,
14414,Red Faction: Guerrilla,PC,2009.0,Shooter,THQ,0.0,0.03,0.0,0.01,0.03,82.0,29.0,7.5,309.0,M
14415,River King: Mystic Valley (jp sales),DS,2007.0,Sports,Rising Star Games,0.0,0.0,0.03,0.0,0.03,,,,,
14416,Winning Post World,PS2,2009.0,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
14417,Beyond the Labyrinth,3DS,2012.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14418,JoJos Bizarre Adventure: Eyes of Heaven,PS3,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14419,Legend of the Dragon,PSP,2007.0,Fighting,Game Factory,0.03,0.0,0.0,0.0,0.03,38.0,12.0,,,T
14420,.hack: Sekai no Mukou ni + Versus,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14421,Disney Sports Soccer,GC,2002.0,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.03,75.0,7.0,,,E
14422,Clash of Elementalists,3DS,2013.0,Action,Unknown,0.0,0.03,0.0,0.0,0.03,,,,,
14423,Cooking Mama 5: Bon Appetit!,3DS,2013.0,Simulation,Office Create,0.0,0.0,0.03,0.0,0.03,,,,,
14424,Mame Goma: Honobo no Nikki,DS,2007.0,Simulation,TDK Core,0.0,0.0,0.03,0.0,0.03,,,,,
14425,Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.01,0.03,,,,,
14426,Prince of Persia: The Forgotten Sands,PC,2010.0,Action,Ubisoft,0.0,0.03,0.0,0.0,0.03,75.0,16.0,6.6,220.0,T
14427,Disney's Hide & Sneak,GC,2003.0,Action,Capcom,0.03,0.01,0.0,0.0,0.03,,,,,
14428,Astonishia Story,PSP,2006.0,Role-Playing,Ubisoft,0.03,0.0,0.0,0.0,0.03,48.0,35.0,4.9,18.0,E10+
14429,Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
14430,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013.0,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14431,Raw Danger!,PS2,2006.0,Action,505 Games,0.02,0.01,0.0,0.0,0.03,,,,,
14432,Monster Rancher Hop-A-Bout,PS,2000.0,Action,Tecmo Koei,0.02,0.01,0.0,0.0,0.03,,,,,
14433,Resident Evil 4 HD,XOne,2016.0,Shooter,Capcom,0.03,0.0,0.0,0.0,0.03,,,,,
14434,Barbie and Her Sisters Puppy Rescue,3DS,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,,,,,E
14435,Hajime no Ippo: The Fighting! (2014),PS3,2014.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14436,Custom Beat Battle: Draglade 2,DS,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14437,Max & the Magic Marker,Wii,2011.0,Platform,Unknown,0.0,0.03,0.0,0.0,0.03,,,,,
14438,The Sims 2: Glamour Life Stuff,PC,2006.0,Simulation,Electronic Arts,0.0,0.03,0.0,0.01,0.03,,,6.7,7.0,T
14439,Gotouchi Kenkei DS,DS,2006.0,Misc,Spike,0.0,0.0,0.03,0.0,0.03,,,,,
14440,Bikkuriman Daijiten,DS,2007.0,Misc,3 O'Clock,0.0,0.0,0.03,0.0,0.03,,,,,
14441,Accel World: Ginyoku no Kakusei,PS3,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14442,Elf Bowling 1 & 2,GBA,2005.0,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14443,Mystery Case Files: Ravenhearst,PC,2007.0,Puzzle,Focus Home Interactive,0.01,0.02,0.0,0.01,0.03,,,,,
14444,Agatha Christies The ABC Murders,PS4,2016.0,Adventure,Microids,0.02,0.01,0.0,0.01,0.03,67.0,17.0,6.5,13.0,T
14445,Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,2009.0,Adventure,GSP,0.0,0.03,0.0,0.01,0.03,,,,,T
14446,GunGriffon: Allied Strike,X,2004.0,Simulation,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,55.0,21.0,,,T
14447,Stacked with Daniel Negreanu,PSP,2006.0,Misc,Myelin Media,0.03,0.0,0.0,0.0,0.03,63.0,13.0,,,T
14448,Yuusha Shisu.,PSV,2016.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,,,,
14449,Vitamin X Evolution,DS,2008.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,
14450,Saru! Get You! SaruSaru Daisakusen,PSP,2007.0,Platform,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
14451,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14452,Arthur and the Invisibles,DS,2007.0,Adventure,Atari,0.03,0.0,0.0,0.0,0.03,,,,,
14453,One Piece: Daikaizoku Coliseum,3DS,2016.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
14454,The Flintstones: Big Trouble in Bedrock,GBA,2001.0,Platform,Swing! Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
14455,RACE On,PC,2009.0,Racing,bitComposer Games,0.0,0.03,0.0,0.01,0.03,73.0,14.0,8.2,20.0,E
14456,PopCap Arcade Vol 2,X360,2009.0,Misc,PopCap Games,0.03,0.0,0.0,0.0,0.03,67.0,4.0,,,E10+
